chain,metric,value
1,chain,1.0
1,n_sources,8.0
1,exact_consistency,1.0
1,relaxed_consistency,2.0
1,top1_consistency,0.0
1,at5_consistency,1.0
1,exact_consistency_rate,0.125
1,relaxed_consistency_rate,0.25
1,top1_consistency_rate,0.0
1,at5_consistency_rate,0.125
2,chain,2.0
2,n_sources,1682.0
2,exact_consistency,240.0
2,relaxed_consistency,455.0
2,top1_consistency,220.0
2,at5_consistency,396.0
2,exact_consistency_rate,0.1427
2,relaxed_consistency_rate,0.2705
2,top1_consistency_rate,0.1308
2,at5_consistency_rate,0.2354
